Transaction_ID,Date,Time,Age_Group,Category,Product_Name,Price,Quantity,Payment_Method,Store_Location,Total_Amount
T00001,2026-03-17,20:28,20s,Alcohol,소주,2100,2,Points,Gangnam,4200
T00002,2026-04-07,08:08,50s,Tobacco,메비우스,4500,2,Cash,Hongdae,9000
T00003,2026-04-09,19:16,40s,Tobacco,에쎄 프라임,4500,3,Credit Card,Hongdae,13500
T00004,2026-03-05,14:08,40s,Instant Food,신라면 소컵,1100,3,Cash,Yeouido,3300
T00005,2026-04-05,02:27,10s,Fresh Food,참치마요 삼각김밥,1200,2,Credit Card,Gangnam,2400
T00006,2026-04-08,11:19,20s,Alcohol,와인,15000,2,Mobile Pay,Hongdae,30000
T00007,2026-04-06,14:29,20s,Alcohol,와인,15000,3,Mobile Pay,Mapo,45000
T00008,2026-04-06,22:35,20s,Snack,빼빼로,1500,2,Cash,Hongdae,3000
T00009,2026-04-08,02:08,20s,Beverage,아이스 아메리카노,2500,3,Cash,Gangnam,7500
T00010,2026-04-04,08:23,20s,Instant Food,신라면 소컵,1100,3,Credit Card,Hongdae,3300
T00011,2026-04-03,08:53,30s,Instant Food,불닭볶음면 큰컵,1800,3,Points,Sinsa,5400
T00012,2026-03-23,10:10,10s,Instant Food,불닭볶음면 큰컵,1800,2,Credit Card,Yeouido,3600
T00013,2026-03-04,07:54,20s,Alcohol,소주,2100,2,Cash,Sinsa,4200
T00014,2026-03-05,02:10,40s,Instant Food,불닭볶음면 큰컵,1800,3,Points,Yeouido,5400
T00015,2026-04-12,13:49,10s,Fresh Food,혜자로운 도시락,5200,1,Points,Hongdae,5200
T00016,2026-03-26,04:53,40s,Alcohol,와인,15000,1,Points,Yeouido,15000
T00017,2026-03-25,07:04,60s+,Alcohol,소주,2100,2,Cash,Hongdae,4200
T00018,2026-04-09,01:44,20s,Beverage,에너지드링크,2200,1,Mobile Pay,Gangnam,2200
T00019,2026-03-08,17:17,50s,Tobacco,메비우스,4500,1,Credit Card,Gangnam,4500
T00020,2026-04-10,00:43,20s,Instant Food,불닭볶음면 큰컵,1800,2,Mobile Pay,Hongdae,3600
T00021,2026-03-25,23:54,50s,Beverage,아이스 아메리카노,2500,2,Credit Card,Hongdae,5000
T00022,2026-03-30,08:52,40s,Alcohol,소주,2100,1,Mobile Pay,Gangnam,2100
T00023,2026-04-10,16:21,50s,Alcohol,캔맥주 500ml,2800,3,Points,Yeouido,8400
T00024,2026-03-16,16:32,20s,Alcohol,소주,2100,2,Mobile Pay,Yeouido,4200
T00025,2026-03-19,19:46,40s,Beverage,바나나우유,1700,2,Points,Gangnam,3400
T00026,2026-04-01,20:24,20s,Beverage,에너지드링크,2200,3,Credit Card,Yeouido,6600
T00027,2026-04-10,00:06,40s,Tobacco,메비우스,4500,3,Credit Card,Sinsa,13500
T00028,2026-03-26,01:37,40s,Fresh Food,샌드위치,2800,3,Cash,Yeouido,8400
T00029,2026-04-04,09:43,40s,Alcohol,와인,15000,2,Credit Card,Hongdae,30000
T00030,2026-04-07,11:12,50s,Fresh Food,혜자로운 도시락,5200,2,Cash,Hongdae,10400
T00031,2026-03-23,14:08,20s,Beverage,에너지드링크,2200,2,Mobile Pay,Mapo,4400
T00032,2026-04-11,20:10,40s,Beverage,바나나우유,1700,3,Mobile Pay,Hongdae,5100
T00033,2026-03-14,14:56,10s,Instant Food,불닭볶음면 큰컵,1800,2,Mobile Pay,Hongdae,3600
T00034,2026-03-09,21:26,20s,Tobacco,에쎄 프라임,4500,1,Credit Card,Mapo,4500
T00035,2026-03-01,20:02,40s,Beverage,아이스 아메리카노,2500,3,Points,Hongdae,7500
T00036,2026-03-02,23:57,30s,Alcohol,소주,2100,2,Cash,Hongdae,4200
T00037,2026-03-15,19:17,60s+,Fresh Food,참치마요 삼각김밥,1200,2,Mobile Pay,Mapo,2400
T00038,2026-04-03,13:57,40s,Snack,초코빈,1200,2,Mobile Pay,Sinsa,2400
T00039,2026-03-02,03:27,20s,Alcohol,와인,15000,2,Cash,Mapo,30000
T00040,2026-03-26,17:33,20s,Instant Food,컵누들,1800,3,Mobile Pay,Sinsa,5400
T00041,2026-04-14,22:04,10s,Instant Food,신라면 소컵,1100,1,Cash,Hongdae,1100
T00042,2026-04-04,00:23,30s,Alcohol,와인,15000,1,Credit Card,Gangnam,15000
T00043,2026-04-05,18:04,40s,Tobacco,메비우스,4500,3,Cash,Gangnam,13500
T00044,2026-03-19,09:47,40s,Alcohol,소주,2100,2,Cash,Mapo,4200
T00045,2026-03-29,15:44,30s,Beverage,에너지드링크,2200,1,Cash,Yeouido,2200
T00046,2026-03-08,04:49,30s,Beverage,바나나우유,1700,1,Credit Card,Mapo,1700
T00047,2026-03-16,01:48,20s,Instant Food,신라면 소컵,1100,1,Cash,Hongdae,1100
T00048,2026-04-14,19:28,10s,Fresh Food,샌드위치,2800,3,Points,Yeouido,8400
T00049,2026-04-12,17:16,10s,Instant Food,신라면 소컵,1100,3,Cash,Hongdae,3300
T00050,2026-04-12,17:02,50s,Instant Food,불닭볶음면 큰컵,1800,1,Mobile Pay,Hongdae,1800
T00051,2026-03-07,22:24,20s,Beverage,바나나우유,1700,3,Mobile Pay,Yeouido,5100
T00052,2026-03-13,12:22,60s+,Beverage,에너지드링크,2200,2,Cash,Mapo,4400
T00053,2026-03-11,16:30,30s,Snack,포카칩,1700,2,Points,Hongdae,3400
